go_f,count,Systematic Name
cAMP binding,1,['YIL033C']
cAMP-dependent protein kinase activity,3,"['YJL164C', 'YKL166C', 'YPL203W']"
cAMP-dependent protein kinase inhibitor activity,3,"['YAL056W', 'YIL033C', 'YOR371C']"
cAMP-dependent protein kinase regulator activity,1,['YIL033C']
cadmium ion binding,2,"['YHR053C', 'YHR055C']"
cadmium ion transmembrane transporter activity,4,"['YHR050W', 'YLL015W', 'YLR034C', 'YOL122C']"
cadmium-exporting ATPase activity,1,['YBR295W']
cadmium-transporting ATPase activity,2,"['YDR135C', 'YGR281W']"
calcium activated cation channel activity,5,"['YLL005C', 'YLR241W', 'YMR266W', 'YOL084W', 'YOR087W']"
calcium channel activity,3,"['YGR217W', 'YNL291C', 'YOR087W']"
calcium ion binding,28,"['YAL048C', 'YAL058W', 'YBL047C', 'YBR001C', 'YBR053C', 'YBR109C', 'YDR001C', 'YDR373W', 'YGL106W', 'YGL167C', 'YGR058W', 'YGR100W', 'YGR217W', 'YHR204W', 'YIL140W', 'YIR006C', 'YJR131W', 'YKL056C', 'YKL190W', 'YLR057W', 'YLR250W', 'YNL083W', 'YNL084C', 'YNR021W', 'YOR257W', 'YPL048W', 'YPL268W', 'YPR188C']"
calcium ion transmembrane transporter activity,1,['YBR187W']
calcium-dependent cysteine-type endopeptidase activity,2,"['YMR154C', 'YOR197W']"
calcium-dependent phospholipid binding,2,"['YML072C', 'YOR086C']"
calcium-dependent protein binding,1,['YBR109C']
calcium-dependent protein kinase C activity,1,['YBL105C']
calcium-dependent protein serine/threonine phosphatase activity,3,"['YKL190W', 'YLR433C', 'YML057W']"
calcium-dependent protein serine/threonine phosphatase regulator activity,2,"['YKL159C', 'YKL190W']"
calcium-independent phospholipase A2 activity,1,['YKR089C']
calcium-transporting ATPase activity,5,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL167C']"
calcium:proton antiporter activity,2,"['YDL128W', 'YNL321W']"
calmodulin binding,22,"['YAL029C', 'YBR169C', 'YDL229W', 'YDR356W', 'YDR388W', 'YFL004W', 'YFR014C', 'YGL158W', 'YGR167W', 'YJL012C', 'YKL171W', 'YLR113W', 'YLR248W', 'YLR433C', 'YML057W', 'YMR291W', 'YNR035C', 'YOL016C', 'YOR326W', 'YPL019C', 'YPL106C', 'YPL242C']"
calmodulin-dependent protein kinase activity,6,"['YFR014C', 'YKL171W', 'YLR248W', 'YMR291W', 'YOL016C', 'YOR351C']"
calmodulin-dependent protein phosphatase activity,2,"['YLR433C', 'YML057W']"
carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,3,"['YJL130C', 'YJR109C', 'YOR303W']"
carbohydrate binding,12,"['YAL058W', 'YBR019C', 'YBR229C', 'YDR057W', 'YFL048C', 'YGL156W', 'YHR204W', 'YHR210C', 'YLR080W', 'YMR099C', 'YNR071C', 'YPR026W']"
carbohydrate derivative binding,3,"['YFL048C', 'YKL104C', 'YMR085W']"
carbon-carbon lyase activity,3,"['YDR294C', 'YEL020C', 'YMR250W']"
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",4,"['YBL080C', 'YGR102C', 'YMR293C', 'YOR215C']"
carbon-sulfur lyase activity,4,"['YAL012W', 'YGL184C', 'YHR112C', 'YML082W']"
carbonate dehydratase activity,1,['YNL036W']
carbonyl reductase (NADPH) activity,4,"['YDR368W', 'YGL039W', 'YGL157W', 'YMR226C']"
carboxy-lyase activity,18,"['YDL080C', 'YDR047W', 'YDR380W', 'YDR538W', 'YDR539W', 'YEL020C', 'YEL021W', 'YGR087C', 'YGR170W', 'YKL184W', 'YKR097W', 'YLR044C', 'YLR134W', 'YMR250W', 'YNL169C', 'YNR043W', 'YOL052C', 'YOR128C']"
carboxyl- or carbamoyltransferase activity,2,"['YJL088W', 'YJL130C']"
carboxylate reductase activity,1,['YMR110C']
carboxylic acid transmembrane transporter activity,2,"['YGR260W', 'YKL217W']"
carboxylic ester hydrolase activity,15,"['YBR177C', 'YDR125C', 'YGR015C', 'YGR110W', 'YHR049W', 'YHR075C', 'YJL068C', 'YJR019C', 'YLR099C', 'YLR118C', 'YMR210W', 'YMR222C', 'YNR064C', 'YOR280C', 'YPL095C']"
carboxymethylenebutenolidase activity,1,['YDL086W']
carboxypeptidase activity,8,"['YBR139W', 'YGL203C', 'YHR132C', 'YJL172W', 'YJR126C', 'YMR297W', 'YOR256C', 'YPL176C']"
cardiolipin binding,2,"['YJR048W', 'YOR211C']"
cardiolipin synthase activity,1,['YDL142C']
cargo adaptor activity,7,"['YBL007C', 'YBL037W', 'YER157W', 'YHR012W', 'YJL154C', 'YOR069W', 'YPR029C']"
cargo receptor activity,2,"['YDL248W', 'YGL054C']"
cargo receptor ligand activity,1,['YPL149W']
carnitine O-acetyltransferase activity,3,"['YAR035W', 'YER024W', 'YML042W']"
carnitine O-palmitoyltransferase activity,1,['YAR035W']
carnitine:acyl carnitine antiporter activity,1,['YOR100C']
carnosine N-methyltransferase activity,1,['YNL092W']
catalase activity,2,"['YDR256C', 'YGR088W']"
catalytic activity,264,"['YAL012W', 'YAL015C', 'YAL021C', 'YAL038W', 'YBL019W', 'YBL080C', 'YBR019C', 'YBR084W', 'YBR117C', 'YBR126C', 'YBR176W', 'YBR208C', 'YBR213W', 'YBR218C', 'YBR221C', 'YBR229C', 'YBR248C', 'YBR249C', 'YBR263W', 'YBR299W', 'YCL004W', 'YCL017C', 'YCL030C', 'YCL047C', 'YCR026C', 'YDL021W', 'YDL045C', 'YDL078C', 'YDL080C', 'YDL090C', 'YDL125C', 'YDL131W', 'YDL141W', 'YDL171C', 'YDL174C', 'YDL178W', 'YDL182W', 'YDL200C', 'YDR007W', 'YDR035W', 'YDR036C', 'YDR050C', 'YDR051C', 'YDR062W', 'YDR074W', 'YDR111C', 'YDR127W', 'YDR232W', 'YDR263C', 'YDR294C', 'YDR305C', 'YDR380W', 'YDR403W', 'YDR481C', 'YDR538W', 'YDR541C', 'YEL011W', 'YEL016C', 'YEL020C', 'YEL021W', 'YEL046C', 'YEL070W', 'YEL071W', 'YER019W', 'YER065C', 'YER069W', 'YER070W', 'YER086W', 'YER142C', 'YER152C', 'YFL030W', 'YFL059W', 'YFR015C', 'YFR025C', 'YFR030W', 'YFR047C', 'YFR053C', 'YFR055W', 'YGL026C', 'YGL039W', 'YGL040C', 'YGL062W', 'YGL155W', 'YGL156W', 'YGL157W', 'YGL184C', 'YGL202W', 'YGL234W', 'YGL253W', 'YGR007W', 'YGR010W', 'YGR019W', 'YGR043C', 'YGR087C', 'YGR202C', 'YGR204W', 'YGR240C', 'YGR244C', 'YGR258C', 'YGR267C', 'YGR277C', 'YGR286C', 'YGR287C', 'YGR292W', 'YHL022C', 'YHR018C', 'YHR029C', 'YHR062C', 'YHR079C', 'YHR111W', 'YHR112C', 'YHR123W', 'YHR128W', 'YHR137W', 'YHR144C', 'YHR164C', 'YHR179W', 'YHR190W', 'YHR208W', 'YHR210C', 'YHR216W', 'YIL002C', 'YIL020C', 'YIL066C', 'YIL107C', 'YIL116W', 'YIL164C', 'YIL165C', 'YIL172C', 'YIR031C', 'YJL035C', 'YJL050W', 'YJL060W', 'YJL062W', 'YJL087C', 'YJL101C', 'YJL121C', 'YJL130C', 'YJL155C', 'YJL216C', 'YJL221C', 'YJR016C', 'YJR130C', 'YJR137C', 'YJR148W', 'YJR149W', 'YKL060C', 'YKL085W', 'YKL088W', 'YKL106W', 'YKL113C', 'YKL152C', 'YKL165C', 'YKL182W', 'YKL184W', 'YKL211C', 'YKL215C', 'YKL216W', 'YKR009C', 'YKR031C', 'YKR072C', 'YLL031C', 'YLL056C', 'YLL058W', 'YLR017W', 'YLR027C', 'YLR028C', 'YLR044C', 'YLR058C', 'YLR089C', 'YLR134W', 'YLR146C', 'YLR209C', 'YLR231C', 'YLR245C', 'YLR258W', 'YLR284C', 'YLR290C', 'YLR303W', 'YLR307W', 'YLR308W', 'YLR316C', 'YLR328W', 'YLR345W', 'YLR354C', 'YLR359W', 'YLR377C', 'YLR401C', 'YLR405W', 'YLR432W', 'YLR438W', 'YML054C', 'YML056C', 'YML060W', 'YML080W', 'YML082W', 'YML100W', 'YML118W', 'YMR062C', 'YMR096W', 'YMR099C', 'YMR108W', 'YMR120C', 'YMR189W', 'YMR205C', 'YMR207C', 'YMR250W', 'YMR261C', 'YMR285C', 'YMR289W', 'YMR293C', 'YMR296C', 'YNL037C', 'YNL104C', 'YNL106C', 'YNL117W', 'YNL168C', 'YNL256W', 'YNL333W', 'YNR008W', 'YNR015W', 'YNR016C', 'YNR033W', 'YNR058W', 'YNR071C', 'YNR073C', 'YOL010W', 'YOL020W', 'YOL042W', 'YOL043C', 'YOL056W', 'YOL065C', 'YOL066C', 'YOL126C', 'YOL136C', 'YOL140W', 'YOL157C', 'YOR033C', 'YOR054C', 'YOR108W', 'YOR109W', 'YOR136W', 'YOR142W', 'YOR180C', 'YOR184W', 'YOR196C', 'YOR283W', 'YOR347C', 'YPL086C', 'YPL171C', 'YPL207W', 'YPL214C', 'YPL231W', 'YPL262W', 'YPR006C', 'YPR026W', 'YPR035W', 'YPR060C', 'YPR062W', 'YPR069C', 'YPR074C', 'YPR167C', 'YPR176C', 'YPR184W']"
cation binding,6,"['YBL056W', 'YBR125C', 'YDL006W', 'YEL011W', 'YER089C', 'YOR090C']"
cation transmembrane transporter activity,13,"['YDL128W', 'YDL206W', 'YDR205W', 'YIL121W', 'YJL094C', 'YJL129C', 'YJR106W', 'YKR050W', 'YMR177W', 'YMR243C', 'YNL321W', 'YOR316C', 'YPL224C']"
cation-transporting ATPase activity,8,"['YBR295W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR270W', 'YEL031W', 'YGL006W', 'YOR291W']"
cation:cation antiporter activity,1,['YLR138W']
cation:chloride symporter activity,1,['YBR235W']
cell adhesion molecule binding,3,"['YGL032C', 'YJR004C', 'YNR044W']"
cellulase activity,1,['YNL327W']
centromeric DNA binding,10,"['YDR374W-A', 'YFR046C', 'YGR140W', 'YIL131C', 'YJR060W', 'YKL049C', 'YKL089W', 'YMR001C', 'YMR168C', 'YOR304W']"
channel activity,4,"['YFL054C', 'YLL043W', 'YLL053C', 'YPR192W']"
channel regulator activity,2,"['YGR097W', 'YPR115W']"
chaperone binding,26,"['YBR044C', 'YCR060W', 'YDR168W', 'YDR214W', 'YDR258C', 'YDR385W', 'YGL018C', 'YGR125W', 'YGR142W', 'YIL016W', 'YIL022W', 'YIR004W', 'YJL073W', 'YKL117W', 'YLL026W', 'YLR200W', 'YLR259C', 'YMR214W', 'YNL007C', 'YNL281W', 'YNL310C', 'YOR020C', 'YOR057W', 'YOR133W', 'YOR232W', 'YPR158W']"
chitin binding,5,"['YDR371W', 'YGR282C', 'YLR286C', 'YLR307W', 'YLR308W']"
chitin deacetylase activity,2,"['YLR307W', 'YLR308W']"
chitin synthase activity,3,"['YBR023C', 'YBR038W', 'YNL192W']"
chitinase activity,2,"['YDR371W', 'YLR286C']"
chitobiosyldiphosphodolichol beta-mannosyltransferase activity,1,['YBR110W']
chloride channel activity,2,"['YBR086C', 'YJR040W']"
cholesterol alpha-glucosyltransferase activity,1,['YLR189C']
cholesterol binding,1,['YJL079C']
choline kinase activity,2,"['YDR147W', 'YLR133W']"
choline transmembrane transporter activity,1,['YGL077C']
choline-phosphate cytidylyltransferase activity,1,['YGR202C']
chorismate mutase activity,2,"['YNL316C', 'YPR060C']"
chorismate synthase activity,1,['YGL148W']
chromatin DNA binding,7,"['YBR112C', 'YDR121W', 'YER164W', 'YJL184W', 'YKR038C', 'YKR095W-A', 'YLR263W']"
chromatin binding,101,"['YAL019W', 'YAL034C', 'YBL023C', 'YBL079W', 'YBL097W', 'YBR060C', 'YBR111W-A', 'YBR198C', 'YBR202W', 'YBR279W', 'YCL011C', 'YCR020W-B', 'YCR042C', 'YCR077C', 'YDL003W', 'YDL160C', 'YDR145W', 'YDR167W', 'YDR180W', 'YDR195W', 'YDR295C', 'YDR325W', 'YDR397C', 'YDR448W', 'YDR458C', 'YDR501W', 'YEL009C', 'YEL032W', 'YER063W', 'YER148W', 'YER159C', 'YER173W', 'YFR031C', 'YGL090W', 'YGL096W', 'YGL112C', 'YGL113W', 'YGL131C', 'YGL173C', 'YGL207W', 'YGR053C', 'YGR056W', 'YGR270W', 'YGR274C', 'YHL022C', 'YHR085W', 'YHR154W', 'YHR197W', 'YHR216W', 'YIL026C', 'YIL131C', 'YJL081C', 'YJL124C', 'YJL194W', 'YKL005C', 'YKL018W', 'YKL110C', 'YKR008W', 'YKR048C', 'YKR101W', 'YLL004W', 'YLR002C', 'YLR086W', 'YLR103C', 'YLR113W', 'YLR117C', 'YLR183C', 'YLR272C', 'YLR274W', 'YLR357W', 'YLR394W', 'YLR399C', 'YLR418C', 'YLR442C', 'YLR455W', 'YML015C', 'YML034W', 'YML065W', 'YML069W', 'YMR005W', 'YMR039C', 'YMR236W', 'YNL004W', 'YNL021W', 'YNL068C', 'YNL102W', 'YNL118C', 'YNL182C', 'YNL246W', 'YOL012C', 'YOL086W-A', 'YOR144C', 'YOR304W', 'YOR338W', 'YPL001W', 'YPL011C', 'YPL138C', 'YPR007C', 'YPR034W', 'YPR135W', 'YPR179C']"
chromatin insulator sequence binding,1,['YPL128C']
citrate (Si)-synthase activity,3,"['YCR005C', 'YNR001C', 'YPR001W']"
citrate dehydratase activity,1,['YLR304C']
class I DNA-(apurinic or apyrimidinic site) endonuclease activity,3,"['YAL015C', 'YML060W', 'YOL043C']"
clathrin adaptor activity,8,"['YBL037W', 'YHL019C', 'YJR058C', 'YLR170C', 'YNL243W', 'YOL062C', 'YPL259C', 'YPR029C']"
clathrin binding,13,"['YDL091C', 'YDL161W', 'YDR153C', 'YDR320C', 'YGR241C', 'YHR161C', 'YJR005W', 'YJR125C', 'YKL135C', 'YLL038C', 'YLR206W', 'YNL243W', 'YPR029C']"
clathrin heavy chain binding,3,"['YGR167W', 'YGR241C', 'YHR161C']"
clathrin light chain binding,2,"['YGL206C', 'YNL243W']"
cobalt ion binding,3,"['YBR263W', 'YIR027C', 'YLR058C']"
cobalt ion transmembrane transporter activity,1,['YOR316C']
coenzyme A transmembrane transporter activity,1,['YHR002W']
cohesin ATPase activity,1,['YJL074C']
copper chaperone activity,4,"['YBR024W', 'YBR037C', 'YLL009C', 'YNL259C']"
copper ion binding,20,"['Q0250', 'YBR024W', 'YBR037C', 'YBR295W', 'YDR270W', 'YDR506C', 'YFL041W', 'YGL166W', 'YHR053C', 'YHR055C', 'YJR104C', 'YKL137W', 'YLL009C', 'YLL018C-A', 'YMR021C', 'YMR038C', 'YMR058W', 'YMR244C-A', 'YPL132W', 'YPR008W']"
copper ion transmembrane transporter activity,5,"['YER053C', 'YHR175W', 'YLR411W', 'YMR319C', 'YPR124W']"
copper-transporting ATPase activity,2,"['YBR295W', 'YDR270W']"
coproporphyrinogen oxidase activity,1,['YDR044W']
core promoter proximal region sequence-specific DNA binding,14,"['YDR253C', 'YER130C', 'YGL071W', 'YKL062W', 'YKL185W', 'YLR131C', 'YMR021C', 'YMR037C', 'YMR042W', 'YMR043W', 'YNL027W', 'YNL216W', 'YPL038W', 'YPR065W']"
core promoter sequence-specific DNA binding,6,"['YDL070W', 'YDR397C', 'YER159C', 'YKL032C', 'YLR399C', 'YPL048W']"
crossed form four-way junction DNA binding,2,"['YIR021W', 'YKL011C']"
crossover junction endodeoxyribonuclease activity,6,"['YBR098W', 'YBR228W', 'YDR076W', 'YDR386W', 'YER041W', 'YKL011C']"
cullin family protein binding,4,"['YDL008W', 'YDR328C', 'YLR128W', 'YOL133W']"
cupric ion binding,2,"['YGL089C', 'YPL187W']"
cupric reductase activity,2,"['YBR010W', 'YNL031C']"
cyanamide hydratase activity,2,"['YFL061W', 'YNL335W']"
cyclic-nucleotide phosphodiesterase activity,1,['YGR247W']
cyclin binding,10,"['YBR160W', 'YDR443C', 'YGL003C', 'YHR166C', 'YJR141W', 'YKL139W', 'YKL161C', 'YKR048C', 'YNL307C', 'YPR161C']"
cyclin-dependent protein kinase activating kinase activity,1,['YFL029C']
cyclin-dependent protein serine/threonine kinase activator activity,4,"['YBR135W', 'YDR460W', 'YJL006C', 'YLR226W']"
cyclin-dependent protein serine/threonine kinase activity,9,"['YBR160W', 'YDL108W', 'YFL029C', 'YKL139W', 'YKL161C', 'YOL128C', 'YPL031C', 'YPL042C', 'YPR161C']"
cyclin-dependent protein serine/threonine kinase inhibitor activity,5,"['YGR233C', 'YHR136C', 'YJL157C', 'YLR079W', 'YPL014W']"
cyclin-dependent protein serine/threonine kinase regulator activity,24,"['YAL040C', 'YBR135W', 'YDL127W', 'YDL155W', 'YDL179W', 'YER059W', 'YGL134W', 'YGL215W', 'YGR108W', 'YGR109C', 'YHR071W', 'YIL050W', 'YJL006C', 'YLR210W', 'YLR226W', 'YMR199W', 'YNL025C', 'YNL289W', 'YOL001W', 'YPL219W', 'YPL256C', 'YPR025C', 'YPR119W', 'YPR120C']"
cyclohydrolase activity,1,['YBL033C']
cyclosporin A binding,8,"['YCR069W', 'YDR155C', 'YDR304C', 'YHR057C', 'YJR032W', 'YLR216C', 'YML078W', 'YNR028W']"
cystathionine beta-lyase activity,3,"['YFR055W', 'YGL184C', 'YHR112C']"
cystathionine beta-synthase activity,1,['YGR155W']
cystathionine gamma-lyase activity,2,"['YAL012W', 'YGL184C']"
cystathionine gamma-synthase activity,3,"['YJR130C', 'YLL058W', 'YML082W']"
cystathionine gamma-synthase activity (acts on O-phosphohomoserine),3,"['YJR130C', 'YLL058W', 'YML082W']"
cysteine desulfurase activity,2,"['YCL017C', 'YER048W-A']"
cysteine synthase activity,2,"['YGR012W', 'YLR303W']"
cysteine transmembrane transporter activity,1,['YLL055W']
cysteine-S-conjugate beta-lyase activity,3,"['YAL012W', 'YFR055W', 'YGL184C']"
cysteine-tRNA ligase activity,1,['YNL247W']
cysteine-type carboxypeptidase activity,2,"['YGL082W', 'YPL191C']"
cysteine-type endopeptidase activity,13,"['YBL067C', 'YBR058C', 'YDL122W', 'YER098W', 'YER151C', 'YGR098C', 'YIL156W', 'YKR098C', 'YMR154C', 'YMR304W', 'YNL186W', 'YNL239W', 'YOR124C']"
cysteine-type endopeptidase inhibitor activity,1,['YLR073C']
cysteine-type peptidase activity,28,"['YBL067C', 'YBR058C', 'YDL122W', 'YDR069C', 'YDR331W', 'YER098W', 'YER144C', 'YER151C', 'YFL044C', 'YFR004W', 'YFR010W', 'YGR098C', 'YIL031W', 'YIL156W', 'YJL197W', 'YJR099W', 'YKR098C', 'YMR154C', 'YMR223W', 'YMR304W', 'YNL186W', 'YNL223W', 'YNL239W', 'YOR124C', 'YOR197W', 'YPL020C', 'YPL072W', 'YPL191C']"
cytidine deaminase activity,1,['YLR245C']
cytidine transmembrane transporter activity,1,['YER056C']
cytidylate kinase activity,1,['YKL024C']
"cytochrome-b5 reductase activity, acting on NAD(P)H",5,"['YIL043C', 'YKL150W', 'YML125C', 'YMR073C', 'YOR037W']"
cytochrome-c oxidase activity,16,"['Q0045', 'Q0055', 'Q0060', 'Q0065', 'Q0070', 'Q0250', 'Q0275', 'YDL067C', 'YGL187C', 'YGL191W', 'YHR051W', 'YIL111W', 'YLR038C', 'YLR395C', 'YMR256C', 'YNL052W']"
cytochrome-c peroxidase activity,1,['YKR066C']
cytosine deaminase activity,1,['YPR062W']
cytoskeletal protein binding,4,"['YBL007C', 'YCR009C', 'YDR388W', 'YMR032W']"
cytoskeletal regulatory protein binding,1,['YLR319C']
cytoskeleton-nuclear membrane anchor activity,2,"['YGL075C', 'YPL200W']"
dATP phosphohydrolase activity,1,['YER005W']
dATP pyrophosphohydrolase activity,1,['YJR069C']
dCMP deaminase activity,1,['YHR144C']
dCTP diphosphatase activity,1,['YJR069C']
dCTP phosphohydrolase activity,1,['YER005W']
dGTP diphosphatase activity,1,['YJR069C']
dGTP phosphohydrolase activity,1,['YER005W']
dITP diphosphatase activity,2,"['YBR252W', 'YJR069C']"
dTTP diphosphatase activity,4,"['YCR026C', 'YEL016C', 'YJR069C', 'YOR111W']"
dTTP phosphohydrolase activity,1,['YER005W']
dUTP diphosphatase activity,2,"['YBR252W', 'YJR069C']"
dUTP phosphohydrolase activity,1,['YER005W']
damaged DNA binding,22,"['YAR007C', 'YBR114W', 'YDR314C', 'YDR419W', 'YDR499W', 'YEL037C', 'YER142C', 'YER162C', 'YER171W', 'YJR052W', 'YKL032C', 'YLR383W', 'YML060W', 'YML095C', 'YMR106C', 'YMR137C', 'YMR201C', 'YMR284W', 'YOL034W', 'YOR346W', 'YOR368W', 'YPL022W']"
deaminase activity,5,"['YDL238C', 'YER057C', 'YIL051C', 'YML035C', 'YNL141W']"
deaminated glutathione amidase activity,1,['YJL126W']
dehydrodolichyl diphosphate synthase activity,3,"['YBR002C', 'YDL193W', 'YMR101C']"
delta14-sterol reductase activity,1,['YNL280C']
delta24(24-1) sterol reductase activity,1,['YGL012W']
deoxycytidyl transferase activity,1,['YOR346W']
deoxyhypusine monooxygenase activity,1,['YJR070C']
deoxyhypusine synthase activity,1,['YHR068W']
deoxyribodipyrimidine photo-lyase activity,1,['YOR386W']
dephospho-CoA kinase activity,2,"['YDR196C', 'YGR277C']"
dethiobiotin synthase activity,2,"['YNR057C', 'YNR058W']"
deubiquitinase activator activity,1,['YPL084W']
diacetyl reductase ((R)-acetoin forming) activity,1,['YAL061W']
diacylglycerol O-acyltransferase activity,1,['YOR245C']
diacylglycerol cholinephosphotransferase activity,2,"['YHR123W', 'YNL130C']"
diacylglycerol diphosphate phosphatase activity,2,"['YDR284C', 'YDR503C']"
diacylglycerol kinase activity,1,['YOR311C']
diamine N-acetyltransferase activity,1,['YDR071C']
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity,1,['YOL066C']
dicarboxylic acid transmembrane transporter activity,4,"['YLR348C', 'YOR222W', 'YPL134C', 'YPL265W']"
dihydroceramidase activity,1,['YPL087W']
dihydrofolate reductase activity,1,['YOR236W']
dihydrofolate synthase activity,2,"['YKL132C', 'YMR113W']"
dihydrolipoamide S-acyltransferase activity,1,['YNL071W']
dihydrolipoyl dehydrogenase activity,2,"['YFL018C', 'YPL017C']"
dihydrolipoyllysine-residue acetyltransferase activity,2,"['YGR193C', 'YNL071W']"
dihydrolipoyllysine-residue succinyltransferase activity,1,['YDR148C']
dihydroneopterin aldolase activity,1,['YNL256W']
dihydroorotase activity,3,"['YJL130C', 'YJR109C', 'YLR420W']"
dihydroorotate dehydrogenase (fumarate) activity,1,['YKL216W']
dihydroorotate dehydrogenase activity,1,['YKL216W']
dihydropteroate synthase activity,1,['YNL256W']
dihydroxy-acid dehydratase activity,1,['YJR016C']
dimethylallyltranstransferase activity,2,"['YJL167W', 'YPL069C']"
dinucleotide insertion or deletion binding,3,"['YHR120W', 'YMR167W', 'YNL082W']"
dinucleotide repeat insertion binding,1,['YOL090W']
dioxygenase activity,9,"['YER049W', 'YER051W', 'YGL010W', 'YHL021C', 'YJR025C', 'YJR078W', 'YJR119C', 'YLL057C', 'YMR009W']"
dipeptidase activity,2,"['YBR281C', 'YFR044C']"
dipeptide transmembrane transporter activity,2,"['YJR152W', 'YKR093W']"
dipeptidyl-peptidase activity,3,"['YHR028C', 'YOL057W', 'YOR219C']"
diphosphoinositol-pentakisphosphate kinase activity,1,['YLR410W']
diphosphoinositol-polyphosphate diphosphatase activity,2,"['YNL032W', 'YOR163W']"
diphosphomevalonate decarboxylase activity,1,['YNR043W']
diphthine methylesterase activity,1,['YBR246W']
diphthine synthase activity,1,['YLR172C']
diphthine-ammonia ligase activity,1,['YLR143W']
disulfide oxidoreductase activity,7,"['YCR083W', 'YDR098C', 'YDR513W', 'YER174C', 'YGR209C', 'YLR043C', 'YPL059W']"
dodecenoyl-CoA delta-isomerase activity,2,"['YLR284C', 'YOR180C']"
"dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity",1,['YBL082C']
"dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity",1,['YNL219C']
"dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase activity",1,['YNR030W']
"dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity",1,['YNL219C']
dolichol kinase activity,1,['YMR013C']
"dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity",1,['YOR067C']
"dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity",1,['YGR227W']
"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity",1,['YOR002W']
dolichyl-diphosphooligosaccharide-protein glycotransferase activity,2,"['YGL022W', 'YOR085W']"
dolichyl-phosphate beta-D-mannosyltransferase activity,1,['YPR183W']
dolichyl-phosphate beta-glucosyltransferase activity,1,['YPL227C']
dolichyl-phosphate-mannose-protein mannosyltransferase activity,7,"['YAL023C', 'YDL093W', 'YDL095W', 'YDR307W', 'YGR199W', 'YJR143C', 'YOR321W']"
dolichyldiphosphatase activity,1,['YGR036C']
double-strand/single-strand DNA junction binding,2,"['YCR092C', 'YOL090W']"
double-stranded DNA 3'-5' exodeoxyribonuclease activity,2,"['YBL019W', 'YKL114C']"
double-stranded DNA 5'-3' exodeoxyribonuclease activity,1,['YKR056W']
double-stranded DNA binding,46,"['R0010W', 'YAR007C', 'YBR073W', 'YBR223C', 'YBR278W', 'YDL154W', 'YDR004W', 'YDR121W', 'YDR174W', 'YDR217C', 'YDR227W', 'YDR409W', 'YER063W', 'YER095W', 'YER179W', 'YFL003C', 'YFL008W', 'YFR031C', 'YGL033W', 'YGL175C', 'YGL183C', 'YHR081W', 'YIL150C', 'YJL074C', 'YJL173C', 'YJR084W', 'YLR304C', 'YLR355C', 'YLR442C', 'YMR044W', 'YMR106C', 'YMR156C', 'YMR167W', 'YMR284W', 'YNL082W', 'YNL206C', 'YNL239W', 'YNL250W', 'YNL262W', 'YNL312W', 'YOL072W', 'YOR156C', 'YOR368W', 'YPL122C', 'YPL127C', 'YPR175W']"
double-stranded DNA-dependent ATP-dependent DNA helicase activity,1,['YDR332W']
double-stranded RNA binding,6,"['YGL169W', 'YHR081W', 'YMR024W', 'YMR239C', 'YMR260C', 'YOR258W']"
double-stranded telomeric DNA binding,4,"['YDR369C', 'YMR224C', 'YNL250W', 'YPL128C']"
dynein complex binding,1,['YOR269W']
dynein heavy chain binding,2,"['YDR488C', 'YOR373W']"
dynein intermediate chain binding,2,"['YDR424C', 'YKR054C']"
dynein light chain binding,1,['YDR488C']
dynein light intermediate chain binding,2,"['YDR424C', 'YKR054C']"
efflux transmembrane transporter activity,2,"['YBR043C', 'YIL120W']"
electron carrier activity,19,"['Q0105', 'Q0110', 'Q0115', 'Q0275', 'YEL039C', 'YGL055W', 'YGR207C', 'YHR042W', 'YJL045W', 'YJR048W', 'YKL141W', 'YKL148C', 'YKR071C', 'YLL041C', 'YMR118C', 'YNL111C', 'YOR065W', 'YPL252C', 'YPR004C']"
electron-transferring-flavoprotein dehydrogenase activity,1,['YOR356W']
endochitinase activity,1,['YLR286C']
endodeoxyribonuclease activity,9,"['YBR098W', 'YDR386W', 'YGR258C', 'YIR021W', 'YJL208C', 'YKL011C', 'YMR224C', 'YNL085W', 'YPL022W']"
