Domains,number,ID
PF00454,9,"['YBL088C', 'YBR136W', 'YHR099W', 'YJL100W', 'YJR066W', 'YKL203C', 'YLR240W', 'YLR305C', 'YNL267W']"
PF00456,2,"['YBR117C', 'YPR074C']"
PF00459,3,"['YDR287W', 'YHR046C', 'YOL064C']"
PF00462,8,"['YBR014C', 'YCL035C', 'YDL010W', 'YDR098C', 'YDR513W', 'YER174C', 'YLR364W', 'YPL059W']"
PF00463,2,"['YER065C', 'YPR006C']"
PF00464,2,"['YBR263W', 'YLR058C']"
PF00465,1,['YGL256W']
PF00466,3,"['YDL202W', 'YKL009W', 'YLR340W']"
PF00467,4,"['YGR034W', 'YHR203C', 'YJR145C', 'YLR344W']"
PF00468,1,['YDR115W']
PF00472,3,"['YGL143C', 'YLR281C', 'YOL114C']"
PF00474,1,['YHL016C']
PF00475,1,['YOR202W']
PF00476,1,['YOR330C']
PF00478,5,"['YAR073W', 'YAR075W', 'YHR216W', 'YLR432W', 'YML056C']"
PF00479,1,['YNL241C']
PF00481,7,"['YBL056W', 'YBR125C', 'YCR079W', 'YDL006W', 'YER089C', 'YJL005W', 'YOR090C']"
PF00483,2,"['YDL055C', 'YDR211W']"
PF00484,1,['YNL036W']
PF00485,3,"['YDR020C', 'YNL129W', 'YNR012W']"
PF00487,1,['YGL055W']
PF00488,6,"['YCR092C', 'YDL154W', 'YDR097C', 'YFL003C', 'YHR120W', 'YOL090W']"
PF00490,1,['YGL040C']
PF00491,1,['YPL111W']
PF00493,6,"['YBL023C', 'YBR202W', 'YEL032W', 'YGL201C', 'YLR274W', 'YPR019W']"
PF00494,1,['YHR190W']
PF00498,15,"['YDL101C', 'YDR200C', 'YDR369C', 'YDR501W', 'YGL081W', 'YHR115C', 'YIL131C', 'YLR016C', 'YLR183C', 'YLR238W', 'YNL068C', 'YNL116W', 'YOR351C', 'YPL153C', 'YPR104C']"
PF00501,10,"['YAL054C', 'YBR041W', 'YBR115C', 'YBR222C', 'YER015W', 'YIL009W', 'YLR153C', 'YMR246W', 'YOR093C', 'YOR317W']"
PF00503,2,"['YER020W', 'YHR005C']"
PF00505,7,"['YBR089C-A', 'YDL002C', 'YDR174W', 'YKL032C', 'YMR072W', 'YPR052C', 'YPR065W']"
PF00510,1,['Q0275']
PF00512,1,['YIL147C']
PF00514,2,"['YEL013W', 'YNL189W']"
PF00515,8,"['YBL084C', 'YBR112C', 'YBR155W', 'YDR244W', 'YHR117W', 'YJR032W', 'YNL121C', 'YOR027W']"
PF00520,1,['YGR217W']
PF00521,1,['YNL088W']
PF00533,6,"['YDR217C', 'YHR154W', 'YJL090C', 'YLR330W', 'YMR277W', 'YOR217W']"
PF00534,4,"['YBR110W', 'YGL065C', 'YNL048W', 'YPL175W']"
PF00535,2,"['YPL227C', 'YPR183W']"
PF00538,1,['YPL127C']
PF00542,1,['YGL068W']
PF00549,2,"['YGR244C', 'YOR142W']"
PF00550,2,"['YBR115C', 'YKL192C']"
PF00551,2,"['YBL013W', 'YDR408C']"
PF00557,7,"['YBL091C', 'YDR101C', 'YER078C', 'YFR006W', 'YGL207W', 'YLL029W', 'YLR244C']"
PF00560,2,"['YKL193C', 'YOR080W']"
PF00561,14,"['YBR177C', 'YBR204C', 'YDR125C', 'YGR015C', 'YGR031W', 'YGR110W', 'YHR075C', 'YKL140W', 'YLR099C', 'YMR210W', 'YNL115C', 'YNL277W', 'YNR064C', 'YPL095C']"
PF00562,3,"['YOR151C', 'YOR207C', 'YPR010C']"
PF00565,1,['YGL085W']
PF00566,9,"['YDL234C', 'YFL027C', 'YGR100W', 'YJL044C', 'YMR055C', 'YMR192W', 'YNL293W', 'YOL112W', 'YPL249C']"
PF00568,1,['YOR181W']
PF00569,2,"['YDR448W', 'YFR037C']"
PF00571,9,"['YAR073W', 'YBR214W', 'YGL056C', 'YGL115W', 'YGR155W', 'YHR216W', 'YJR040W', 'YLR432W', 'YML056C']"
PF00572,3,"['YIL133C', 'YNL069C', 'YOR150W']"
PF00573,3,"['YBR031W', 'YDR012W', 'YML025C']"
PF00575,4,"['YDR404C', 'YER013W', 'YJR007W', 'YMR229C']"
PF00578,4,"['YBL064C', 'YDR453C', 'YIL010W', 'YML028W']"
PF00579,4,"['YDR268W', 'YGR185C', 'YOL097C', 'YPL097W']"
PF00580,1,['YJL092W']
PF00581,10,"['YDR069C', 'YER075C', 'YER144C', 'YGR203W', 'YHR111W', 'YMR036C', 'YOR251C', 'YOR285W', 'YOR286W', 'YPR200C']"
PF00583,13,"['YDR071C', 'YEL066W', 'YFL017C', 'YGR252W', 'YHR013C', 'YJL127C', 'YMR069W', 'YOR253W', 'YPL001W', 'YPL086C', 'YPR051W', 'YPR131C', 'YPR193C']"
PF00584,1,['YDR086C']
PF00585,1,['YER086W']
PF00586,1,['YGL234W']
PF00587,7,"['YDR023W', 'YER087W', 'YHR011W', 'YHR020W', 'YIL078W', 'YKL194C', 'YPR081C']"
PF00588,2,"['YDL112W', 'YOR201C']"
PF00590,2,"['YKR069W', 'YLR172C']"
PF00591,1,['YDR354W']
PF00595,2,"['YIL007C', 'YNL123W']"
PF00596,1,['YJR024C']
PF00610,4,"['YFL047W', 'YJR138W', 'YLR371W', 'YLR452C']"
PF00611,3,"['YFL047W', 'YHR114W', 'YMR032W']"
PF00612,2,"['YAL029C', 'YPL242C']"
PF00613,2,"['YLR240W', 'YLR305C']"
PF00614,2,"['YCL004W', 'YKR031C']"
PF00615,2,"['YLR452C', 'YOR107W']"
PF00616,4,"['YBR140C', 'YKL092C', 'YOL081W', 'YPL242C']"
PF00617,4,"['YAL024C', 'YCR038C', 'YER155C', 'YLR310C']"
PF00618,3,"['YAL024C', 'YER155C', 'YLR310C']"
PF00620,11,"['YBR260C', 'YDL240W', 'YDR379W', 'YDR389W', 'YER155C', 'YFL047W', 'YHR182W', 'YJL201W', 'YOR127W', 'YOR134W', 'YPL115C']"
PF00621,5,"['YAL041W', 'YGR070W', 'YLR371W', 'YLR425W', 'YMR232W']"
PF00622,3,"['YGL227W', 'YKL124W', 'YMR171C']"
PF00623,3,"['YDL140C', 'YOR116C', 'YOR341W']"
PF00624,4,"['YAL063C', 'YAR050W', 'YHR211W', 'YHR213W']"
PF00625,1,['YDR454C']
PF00626,4,"['YHR098C', 'YIL109C', 'YNL049C', 'YPR181C']"
PF00627,6,"['YBL047C', 'YBR058C', 'YEL037C', 'YER143W', 'YGL181W', 'YOR138C']"
PF00628,9,"['YGL131C', 'YJL105W', 'YJR119C', 'YKL005C', 'YKR029C', 'YMR075W', 'YMR176W', 'YPL138C', 'YPL181W']"
PF00631,1,['YJR086W']
PF00632,5,"['YDR457W', 'YER125W', 'YGL141W', 'YJR036C', 'YKL010C']"
PF00633,1,['YAL015C']
PF00635,2,"['YBL091C-A', 'YER120W']"
PF00636,1,['YMR239C']
PF00637,3,"['YDR080W', 'YGL206C', 'YLR148W']"
PF00638,3,"['YDR002W', 'YIL063C', 'YLR335W']"
PF00639,1,['YJR017C']
PF00641,1,['YDL167C']
PF00642,4,"['YDR151C', 'YLR136C', 'YLR323C', 'YPL054W']"
PF00646,3,"['YDR219C', 'YLR368W', 'YOR080W']"
PF00647,2,"['YKL081W', 'YPL048W']"
PF00649,3,"['YGL166W', 'YMR021C', 'YPR008W']"
PF00650,6,"['YJL145W', 'YKL091C', 'YLR380W', 'YMR079W', 'YNL231C', 'YNL264C']"
PF00651,1,['YIL001W']
PF00653,1,['YJR089W']
PF00654,1,['YJR040W']
PF00656,1,['YOR197W']
PF00658,1,['YER165W']
PF00659,1,['YMR001C']
PF00660,29,"['YAL068C', 'YAR020C', 'YBL108C-A', 'YBR067C', 'YBR301W', 'YCR104W', 'YDR542W', 'YEL049W', 'YER011W', 'YFL020C', 'YGL261C', 'YGR294W', 'YHL046C', 'YIL011W', 'YIL176C', 'YIR041W', 'YJL223C', 'YJR150C', 'YJR151C', 'YKL224C', 'YLL025W', 'YLL064C', 'YLR037C', 'YLR040C', 'YLR461W', 'YMR325W', 'YNR076W', 'YOR394W', 'YPL282C']"
PF00664,10,"['YDR135C', 'YGR281W', 'YHL035C', 'YKL209C', 'YKR103W', 'YLL015W', 'YLL048C', 'YLR188W', 'YMR301C', 'YPL270W']"
PF00667,3,"['YFR030W', 'YHR042W', 'YPR048W']"
PF00670,1,['YER043C']
PF00673,3,"['YDR237W', 'YGR085C', 'YPR102C']"
PF00674,24,"['YAR023C', 'YAR027W', 'YAR028W', 'YAR029W', 'YAR031W', 'YAR033W', 'YBR302C', 'YCR007C', 'YCR102W-A', 'YDL248W', 'YFL062W', 'YGL051W', 'YGL053W', 'YGL263W', 'YGR295C', 'YHL042W', 'YHL043W', 'YHL044W', 'YHL048W', 'YJR161C', 'YKL219W', 'YML132W', 'YNL336W', 'YNR075W']"
PF00675,8,"['YBL045C', 'YDR430C', 'YHR024C', 'YLR163C', 'YLR389C', 'YOL098C', 'YPR122W', 'YPR191W']"
PF00676,2,"['YER178W', 'YIL125W']"
PF00677,1,['YBR256C']
PF00679,7,"['YDR385W', 'YJL102W', 'YKL173W', 'YLR069C', 'YLR289W', 'YNL163C', 'YOR133W']"
PF00682,6,"['YBR218C', 'YDL131W', 'YDL182W', 'YGL062W', 'YNL104C', 'YOR108W']"
PF00684,5,"['YFL016C', 'YLR090W', 'YMR214W', 'YNL064C', 'YNL077W']"
PF00687,5,"['YDR116C', 'YGL135W', 'YHR052W', 'YKR060W', 'YPL220W']"
PF00689,5,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL167C']"
PF00690,7,"['YDR038C', 'YDR039C', 'YDR040C', 'YGL006W', 'YGL008C', 'YGL167C', 'YPL036W']"
PF00692,1,['YBR252W']
PF00694,4,"['YDR234W', 'YGL009C', 'YJL200C', 'YLR304C']"
PF00696,4,"['YDR300C', 'YER052C', 'YER069W', 'YHR033W']"
PF00697,1,['YDR007W']
PF00698,1,['YKL182W']
PF00702,14,"['YBR295W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR270W', 'YEL031W', 'YGL006W', 'YGL008C', 'YGL167C', 'YGR208W', 'YMR130W', 'YMR162C', 'YOR291W', 'YPL036W']"
PF00704,2,"['YDR371W', 'YLR286C']"
PF00705,1,['YBR088C']
PF00709,1,['YNL220W']
PF00710,5,"['YDR321W', 'YLR155C', 'YLR157C', 'YLR158C', 'YLR160C']"
PF00717,1,['YIR022W']
PF00719,2,"['YBR011C', 'YMR267W']"
PF00722,3,"['YEL040W', 'YGR189C', 'YLR213C']"
PF00723,1,['YIL099W']
PF00724,2,"['YHR179W', 'YPL171C']"
PF00730,4,"['YAL015C', 'YER142C', 'YML060W', 'YOL043C']"
PF00731,1,['YOR128C']
PF00733,3,"['YGR124W', 'YML096W', 'YPR145W']"
PF00735,7,"['YCR002C', 'YDL225W', 'YDR218C', 'YGR059W', 'YHR107C', 'YJR076C', 'YLR314C']"
PF00736,1,['YAL003W']
PF00742,1,['YJR139C']
PF00743,1,['YHR176W']
PF00749,3,"['YGL245W', 'YOL033W', 'YOR168W']"
PF00750,2,"['YDR341C', 'YHR091C']"
PF00752,4,"['YDR263C', 'YGR258C', 'YKL113C', 'YNL085W']"
PF00753,2,"['YDR272W', 'YLR277C']"
PF00755,3,"['YAR035W', 'YER024W', 'YML042W']"
PF00756,1,['YJL068C']
PF00762,1,['YOR176W']
PF00763,3,"['YBR084W', 'YGR204W', 'YKR080W']"
PF00764,1,['YOL058W']
PF00766,1,['YPR004C']
PF00773,3,"['YDR293C', 'YMR287C', 'YOL021C']"
PF00780,3,"['YGR070W', 'YLR371W', 'YLR425W']"
PF00781,2,"['YLR260W', 'YOR171C']"
PF00782,6,"['YBR276C', 'YFR028C', 'YIL113W', 'YIR026C', 'YNL053W', 'YNL128W']"
PF00786,3,"['YHL007C', 'YNL298W', 'YOL113W']"
PF00787,13,"['YBR200W', 'YDL113C', 'YDR425W', 'YGL212W', 'YHR105W', 'YJL036W', 'YKR078W', 'YML104C', 'YMR004W', 'YOR132W', 'YOR357C', 'YPL115C', 'YPR097W']"
PF00788,1,['YCL032W']
PF00789,7,"['YBL058W', 'YBR273C', 'YDL091C', 'YDR330W', 'YJL048C', 'YML013W', 'YMR067C']"
PF00790,4,"['YDR358W', 'YHL002W', 'YHR108W', 'YNR006W']"
PF00792,1,['YLR240W']
PF00793,2,"['YBR249C', 'YDR035W']"
PF00795,6,"['YHR074W', 'YIL164C', 'YIL165C', 'YJL126W', 'YJR062C', 'YLR351C']"
PF00800,1,['YNL316C']
PF00804,2,"['YMR183C', 'YPL232W']"
PF00806,5,"['YGL014W', 'YGL178W', 'YJR091C', 'YLL013C', 'YPR042C']"
PF00808,3,"['YBL021C', 'YDR397C', 'YER159C']"
PF00809,1,['YNL256W']
PF00810,1,['YBL040C']
PF00814,2,"['YDL104C', 'YKR038C']"
PF00815,1,['YCL030C']
PF00817,2,"['YDR419W', 'YOR346W']"
PF00827,2,"['YLR029C', 'YMR121C']"
PF00828,2,"['YGL103W', 'YNL284C']"
PF00829,1,['YJL096W']
PF00830,1,['YMR193W']
PF00831,2,"['YDL136W', 'YDL191W']"
PF00832,1,['YJL189W']
PF00833,2,"['YDR447C', 'YML024W']"
PF00834,1,['YJL121C']
PF00838,1,['YKL056C']
PF00849,4,"['YDL036C', 'YGR169C', 'YLR165C', 'YOL066C']"
PF00850,5,"['YGL194C', 'YNL021W', 'YNL330C', 'YPL116W', 'YPR068C']"
PF00854,1,['YKR093W']
PF00855,2,"['YLR455W', 'YMR044W']"
PF00856,8,"['YBR030W', 'YDR257C', 'YHL039W', 'YHR119W', 'YHR207C', 'YJL105W', 'YJL168C', 'YPL165C']"
PF00857,1,['YGL037C']
PF00867,4,"['YDR263C', 'YER041W', 'YGR258C', 'YKL113C']"
PF00875,1,['YOR386W']
PF00881,2,"['YCL026C-A', 'YCL026C-B']"
PF00882,1,['YJL132W']
PF00884,1,['YKL165C']
PF00885,1,['YOL143C']
PF00886,1,['YPL013C']
PF00887,1,['YGR037C']
PF00888,3,"['YDL132W', 'YGR003W', 'YLR127C']"
PF00890,4,"['YEL047C', 'YJL045W', 'YJR051W', 'YKL148C']"
PF00892,3,"['YER039C', 'YMR253C', 'YPL264C']"
PF00899,8,"['YDR390C', 'YHR003C', 'YHR111W', 'YHR171W', 'YKL027W', 'YKL210W', 'YPR066W', 'YPR180W']"
PF00900,2,"['YHR203C', 'YJR145C']"
PF00903,1,['YML004C']
PF00909,3,"['YGR121C', 'YNL142W', 'YPR138C']"
PF00916,4,"['YBR294W', 'YGR125W', 'YLR092W', 'YPR003C']"
PF00920,1,['YJR016C']
PF00923,2,"['YGR043C', 'YLR354C']"
PF00925,1,['YBL033C']
PF00926,1,['YDR487C']
PF00928,4,"['YBR288C', 'YHL019C', 'YOL062C', 'YPL259C']"
PF00929,4,"['YGL094C', 'YGR276C', 'YLR059C', 'YOL080C']"
PF00930,2,"['YHR028C', 'YOR219C']"
PF00935,2,"['YHR141C', 'YNL162W']"
PF00939,1,['YNR013C']
PF00940,1,['YFL036W']
PF00953,1,['YBR243C']
PF00955,1,['YNL275W']
PF00956,2,"['YKR048C', 'YNL246W']"
PF00957,5,"['YAL030W', 'YKL196C', 'YLR093C', 'YLR268W', 'YOR327C']"
PF00958,1,['YMR217W']
PF00961,6,"['Q0060', 'Q0065', 'Q0075', 'Q0115', 'Q0120', 'Q0255']"
PF00962,4,"['YBR284W', 'YJL070C', 'YML035C', 'YNL141W']"
PF00970,5,"['YGR234W', 'YIL043C', 'YKL150W', 'YML087C', 'YML125C']"
PF00977,2,"['YBR248C', 'YIL020C']"
PF00982,4,"['YBR126C', 'YDR074W', 'YML100W', 'YMR261C']"
PF00988,2,"['YJL130C', 'YOR303W']"
PF00989,1,['YBR239C']
PF00994,1,['YMR178W']
PF00995,4,"['YDR164C', 'YDR189W', 'YGL095C', 'YLR396C']"
PF00996,2,"['YER136W', 'YOR370C']"
PF00999,3,"['YDR456W', 'YJL094C', 'YLR138W']"
PF01000,2,"['YIL021W', 'YPR110C']"
PF01008,4,"['YGR083C', 'YKR026C', 'YLR291C', 'YPR118W']"
PF01012,2,"['YGR207C', 'YPR004C']"
PF01015,2,"['YLR441C', 'YML063W']"
PF01016,1,['YNL005C']
PF01018,1,['YHR168W']
PF01019,1,['YLR299W']
PF01020,2,"['YIL148W', 'YKR094C']"
PF01025,1,['YOR232W']
PF01026,2,"['YBL055C', 'YMR262W']"
PF01027,1,['YNL305C']
PF01028,1,['YOL006C']
PF01031,2,"['YKR001C', 'YLL001W']"
PF01035,1,['YDL200C']
PF01036,3,"['YBR054W', 'YCR021C', 'YDR033W']"
PF01039,2,"['YMR207C', 'YNR016C']"
PF01040,2,"['YNR041C', 'YPL172C']"
PF01042,3,"['YER057C', 'YIL051C', 'YLR143W']"
PF01048,2,"['YLR017W', 'YLR209C']"
PF01053,8,"['YAL012W', 'YFR055W', 'YGL184C', 'YHR112C', 'YJR130C', 'YLL058W', 'YLR303W', 'YML082W']"
PF01055,1,['YBR229C']
PF01061,9,"['YCR011C', 'YDR011W', 'YDR406W', 'YIL013C', 'YNR070W', 'YOL075C', 'YOR153W', 'YOR328W', 'YPL058C']"
PF01063,3,"['YHR208W', 'YJR148W', 'YMR289W']"
PF01066,5,"['YDL142C', 'YER026C', 'YHR123W', 'YNL130C', 'YPR113W']"
PF01068,1,['YDL164C']
PF01070,1,['YML054C']
PF01071,1,['YGL234W']
PF01073,2,"['YGL001C', 'YOL151W']"
PF01074,1,['YGL156W']
PF01077,1,['YJR137C']
PF01084,1,['YER050C']
PF01086,1,['YGR167W']
PF01087,1,['YBR018C']
PF01088,1,['YJR099W']
PF01090,2,"['YNL302C', 'YOL121C']"
PF01092,2,"['YBR181C', 'YPL090C']"
PF01096,4,"['YDR045C', 'YGL043W', 'YGL070C', 'YJR063W']"
PF01102,1,['YOL105C']
PF01103,1,['YNL026W']
PF01105,8,"['YAL007C', 'YAR002C-A', 'YDL018C', 'YGL002W', 'YGL146C', 'YGL200C', 'YHR110W', 'YML012W']"
PF01106,1,['YKL040C']
PF01111,1,['YBR135W']
PF01115,1,['YIL034C']
PF01116,1,['YKL060C']
PF01118,2,"['YDR158W', 'YER069W']"
PF01119,3,"['YLR035C', 'YMR167W', 'YNL082W']"
PF01121,1,['YDR196C']
PF01125,1,['YCR063W']
PF01126,1,['YLR205C']
PF01127,2,"['YKL141W', 'YMR118C']"
PF01131,1,['YLR234W']
PF01134,1,['YGL236C']
PF01137,1,['YOL010W']
PF01138,6,"['YCR035C', 'YDL111C', 'YDR280W', 'YGR095C', 'YGR158C', 'YGR195W']"
PF01142,1,['YOR243C']
PF01145,2,"['YGR132C', 'YGR231C']"
PF01148,1,['YBR029C']
PF01150,2,"['YEL042W', 'YER005W']"
PF01151,3,"['YCR034W', 'YJL196C', 'YLR372W']"
PF01154,1,['YML126C']
PF01156,1,['YDR400W']
PF01157,2,"['YBR191W', 'YPL079W']"
PF01158,2,"['YMR194W', 'YPL249C-A']"
PF01159,2,"['YLR448W', 'YML073C']"
PF01161,3,"['YDR322W', 'YLR178C', 'YLR179C']"
PF01163,2,"['YNL207W', 'YOR119C']"
PF01165,1,['YBL090W']
PF01168,2,"['YBL036C', 'YGL196W']"
PF01169,1,['YBR187W']
PF01170,1,['YOL124C']
PF01171,1,['YGL211W']
PF01172,2,"['YHR087W', 'YLR022C']"
PF01174,3,"['YFL060C', 'YMR095C', 'YNL334C']"
PF01176,1,['YMR260C']
PF01177,1,['YIR030C']
PF01180,1,['YKL216W']
PF01182,4,"['YCR073W-A', 'YGR248W', 'YHR163W', 'YNR034W']"
PF01184,3,"['YCR010C', 'YDR384C', 'YNR002C']"
PF01189,3,"['YBL024W', 'YNL022C', 'YNL061W']"
PF01191,1,['YBR154C']
PF01192,1,['YPR187W']
PF01193,2,"['YIL021W', 'YPR110C']"
PF01194,1,['YOR210W']
PF01195,1,['YHR189W']
PF01196,1,['YJL063C']
PF01198,2,"['YDL075W', 'YLR406C']"
PF01199,2,"['YER056C-A', 'YIL052C']"
PF01200,2,"['YLR264W', 'YOR167C']"
PF01201,3,"['YBL072C', 'YER102W', 'YER126C']"
PF01202,1,['YDR127W']
PF01204,2,"['YBR001C', 'YDR001C']"
PF01205,2,"['YCR059C', 'YDL177C']"
PF01207,4,"['YLR401C', 'YLR405W', 'YML080W', 'YNR015W']"
PF01208,1,['YDR047W']
PF01209,1,['YML110C']
PF01210,2,"['YDL022W', 'YOL059W']"
PF01212,1,['YEL046C']
PF01213,1,['YNL138W']
PF01214,1,['YGL019W']
PF01215,1,['YGL187C']
PF01217,6,"['YFR051C', 'YJL024C', 'YJR058C', 'YLR170C', 'YPL010W', 'YPL259C']"
PF01218,1,['YDR044W']
PF01221,1,['YDR424C']
PF01222,2,"['YGL012W', 'YNL280C']"
PF01223,1,['YJL208C']
PF01226,1,['YHL008C']
PF01227,1,['YGR267C']
PF01230,3,"['YDL125C', 'YDR305C', 'YOR258W']"
PF01231,1,['YJR078W']
PF01232,2,"['YEL070W', 'YNR073C']"
PF01233,1,['YLR195C']
PF01237,7,"['YAR042W', 'YDL019C', 'YHR001W', 'YHR073W', 'YKR003W', 'YOR237W', 'YPL145C']"
PF01238,1,['YER003C']
PF01239,2,"['YJL031C', 'YKL019W']"
PF01243,3,"['YBR035C', 'YLR456W', 'YPR172W']"
PF01245,1,['YCR046C']
PF01246,3,"['YGL031C', 'YGR148C', 'YLR009W']"
PF01247,2,"['YOR234C', 'YPL143W']"
PF01248,6,"['YDL208W', 'YEL026W', 'YGL030W', 'YHL033C', 'YLL045C', 'YOR369C']"
PF01249,2,"['YJL136C', 'YKR057W']"
PF01250,1,['YKL003C']
PF01251,2,"['YNL096C', 'YOR096W']"
PF01253,3,"['YDR117C', 'YJR014W', 'YNL244C']"
PF01255,2,"['YBR002C', 'YMR101C']"
PF01256,1,['YKL151C']
PF01259,1,['YAR015W']
PF01261,1,['YKL114C']
PF01263,4,"['YBR019C', 'YHR210C', 'YMR099C', 'YNR071C']"
PF01264,1,['YGL148W']
PF01265,2,"['YAL039C', 'YKL087C']"
PF01266,2,"['YHR009C', 'YIL155C']"
PF01267,1,['YKL007W']
PF01268,2,"['YBR084W', 'YGR204W']"
PF01269,1,['YDL014W']
PF01274,2,"['YIR031C', 'YNL117W']"
PF01280,2,"['YBL027W', 'YBR084C-A']"
PF01282,2,"['YER074W', 'YIL069C']"
PF01283,2,"['YER131W', 'YGL189C']"
PF01284,4,"['YDL218W', 'YGR131W', 'YNR061C', 'YPR149W']"
PF01285,1,['YBR083W']
PF01287,2,"['YEL034W', 'YJR047C']"
PF01288,1,['YNL256W']
PF01293,1,['YKR097W']
PF01294,2,"['YDL082W', 'YMR142C']"
PF01300,1,['YGL169W']
PF01302,4,"['YCL029C', 'YER007W', 'YNL148C', 'YPL174C']"
PF01321,1,['YLL029W']
PF01329,1,['YHL018W']
PF01331,1,['YGL130W']
PF01336,8,"['YAR007C', 'YCR024C', 'YDR037W', 'YHR019C', 'YLL018C', 'YNL073W', 'YNL312W', 'YPL104W']"
PF01348,2,"['Q0050', 'Q0055']"
PF01351,1,['YNL072W']
PF01363,5,"['YDR313C', 'YDR323C', 'YFR019W', 'YGL023C', 'YNR006W']"
PF01368,1,['YHR201C']
PF01369,5,"['YBL060W', 'YDR170C', 'YEL022W', 'YJR031C', 'YPR095C']"
PF01370,5,"['YDR541C', 'YGL039W', 'YGL157W', 'YLL056C', 'YLR290C']"
PF01379,1,['YDL205C']
PF01380,2,"['YKL104C', 'YMR085W']"
PF01381,1,['YOR298C-A']
PF01384,1,['YBR296C']
PF01388,2,"['YMR176W', 'YPL016W']"
PF01394,1,['YGL206C']
PF01398,3,"['YDL216C', 'YFR004W', 'YOR261C']"
PF01399,8,"['YDL097C', 'YDL147W', 'YDR427W', 'YER021W', 'YJR084W', 'YMR309C', 'YOL072W', 'YPR108W']"
PF01406,1,['YNL247W']
PF01408,2,"['YML051W', 'YMR315W']"
PF01409,2,"['YFL022C', 'YPR047W']"
PF01411,1,['YOR335C']
PF01412,6,"['YDL226C', 'YDR524C', 'YER122C', 'YGL181W', 'YIL044C', 'YNL204C']"
PF01416,3,"['YFL001W', 'YGL063W', 'YPL212C']"
PF01417,5,"['YDL161W', 'YDR153C', 'YJR125C', 'YLL038C', 'YLR206W']"
PF01422,1,['YNL023C']
PF01423,16,"['YBL026W', 'YCR020C-A', 'YDR378C', 'YER029C', 'YER112W', 'YER146W', 'YFL017W-A', 'YGR074W', 'YJL124C', 'YJR022W', 'YLR147C', 'YLR275W', 'YLR438C-A', 'YNL147W', 'YOR159C', 'YPR182W']"
PF01424,2,"['YDL189W', 'YNL023C']"
PF01425,3,"['YBR208C', 'YDR242W', 'YMR293C']"
PF01426,5,"['YGL131C', 'YGR056W', 'YLR357W', 'YLR442C', 'YML065W']"
PF01428,1,['YNL155W']
PF01432,2,"['YCL057W', 'YKL134C']"
PF01433,4,"['YHR047C', 'YIL137C', 'YKL157W', 'YNL045W']"
PF01434,3,"['YER017C', 'YMR089C', 'YPR024W']"
PF01435,2,"['YJR117W', 'YKR087C']"
PF01450,1,['YLR355C']
PF01451,1,['YPR073C']
PF01454,1,['YDR288W']
PF01459,3,"['YIL114C', 'YMR203W', 'YNL055C']"
PF01465,1,['YLR309C']
PF01466,1,['YDR328C']
PF01467,6,"['YCL047C', 'YGR007W', 'YGR010W', 'YGR202C', 'YGR277C', 'YLR328W']"
PF01472,4,"['YDR300C', 'YER007C-A', 'YHR033W', 'YLR175W']"
PF01479,6,"['YBR189W', 'YHR148W', 'YHR203C', 'YJR145C', 'YNL137C', 'YPL081W']"
PF01483,1,['YNL238W']
PF01485,2,"['YKR017C', 'YML068W']"
PF01487,1,['YDR127W']
PF01488,1,['YDR127W']
PF01490,7,"['YBL089W', 'YEL064C', 'YER119C', 'YIL088C', 'YJR001W', 'YKL146W', 'YNL101W']"
PF01491,1,['YDL120W']
PF01493,1,['YDL171C']
PF01494,2,"['YBL098W', 'YGR255C']"
PF01496,2,"['YMR054W', 'YOR270C']"
PF01501,2,"['YJL137C', 'YKR058W']"
PF01502,1,['YCL030C']
PF01503,1,['YCL030C']
PF01504,2,"['YDR208W', 'YFR019W']"
PF01507,2,"['YDL045C', 'YPR167C']"
PF01509,2,"['YLR175W', 'YNL292W']"
PF01513,3,"['YEL041W', 'YJR049C', 'YPL188W']"
PF01521,2,"['YLL027W', 'YPR067W']"
PF01522,2,"['YLR307W', 'YLR308W']"
PF01529,6,"['YDR126W', 'YDR264C', 'YDR459C', 'YLR246W', 'YNL326C', 'YOL003C']"
PF01532,3,"['YHR204W', 'YJR131W', 'YLR057W']"
PF01536,1,['YOL052C']
PF01541,1,['YBR228W']
PF01544,3,"['YFL050C', 'YKL064W', 'YOL130W']"
PF01545,5,"['YDR205W', 'YMR177W', 'YMR243C', 'YOR316C', 'YPL224C']"
PF01546,3,"['YBR281C', 'YFR044C', 'YJL172W']"
PF01553,6,"['YBL011W', 'YBR042C', 'YDL052C', 'YDR018C', 'YKR067W', 'YPR140W']"
PF01554,2,"['YDR338C', 'YHR032W']"
PF01556,6,"['YFL016C', 'YLR090W', 'YMR214W', 'YNL007C', 'YNL064C', 'YNL077W']"
PF01557,1,['YNL168C']
PF01564,2,"['YLR146C', 'YPR069C']"
PF01565,4,"['YDL174C', 'YDL178W', 'YEL071W', 'YML086C']"
PF01566,3,"['YHR050W', 'YLR034C', 'YOL122C']"
PF01569,6,"['YDR072C', 'YDR284C', 'YDR503C', 'YGR036C', 'YJL134W', 'YKR053C']"
PF01571,1,['YDR019C']
PF01575,2,"['YKL182W', 'YKR009C']"
PF01583,2,"['YDR248C', 'YKL001C']"
